tchextuserid,studentuserid1,stdextuserid,classcode
tch_20220818-180043_118,d8dbd80a-bcd7-4dbe-b98f-d4c663bea3ed,std_1660853660181_118,v79L-TCnc
tch_20220818-180043_117,30024d1c-a02b-4408-8418-69b5aa8d8b49,std_1660853665910_117,8JoF-v8to
tch_20220818-180043_120,0930c210-617a-497b-ae58-f551c175a377,std_1660853669054_120,MP3F-76bP
tch_20220818-180043_122,ca947cbf-dbce-4bc5-b3f2-8befdd72ea71,std_1660853671688_122,JnZG-xenh
tch_20220818-180043_119,89232bb8-375e-4501-ae6c-542a9d11af88,std_1660853679069_119,JWfj-6x7x
tch_20220818-180043_121,4c926763-eb09-410b-aa65-2503d3a36eca,std_1660853680720_121,9xP2-uJtg
tch_20220818-180043_118,e79a3968-b8be-4171-b15f-31a1e60cdccc,std_1660853687021_118,v79L-TCnc
tch_20220818-180043_123,f7125b36-ab91-4556-b8c2-d44a9c66f141,std_1660853687703_123,2GEM-W4Mt
tch_20220818-180043_120,0565ed1b-068d-4399-bf21-dcd7f5438695,std_1660853696553_120,MP3F-76bP
tch_20220818-180043_122,22d3804f-838a-4dba-98fd-ec60e9f70acd,std_1660853699086_122,JnZG-xenh
tch_20220818-180043_119,473a9070-4a75-4d91-ad9a-57ba799b0898,std_1660853704419_119,JWfj-6x7x
tch_20220818-180043_121,e6c9cb2c-1c23-4c0e-bbd0-898c0d9ea332,std_1660853706086_121,9xP2-uJtg
tch_20220818-180043_124,4d8ca507-7fe3-4d6c-8810-be437a71335f,std_1660853703718_124,awVu-tZUy
tch_20220818-180043_123,640fb398-0036-4514-b6e6-fca977812acb,std_1660853712779_123,2GEM-W4Mt
tch_20220818-180043_120,0f093e12-483b-41f1-bbf0-b13b00d885c4,std_1660853720326_120,MP3F-76bP
tch_20220818-180043_125,e08ee36e-f1c9-4ff1-b51a-d9b691937a12,std_1660853719734_125,6aDb-fqXn
tch_20220818-180043_122,0ba669c1-b958-4cf5-bae4-950bc32ce1eb,std_1660853725798_122,JnZG-xenh
tch_20220818-180043_124,9d95f866-b8fa-42e4-a2fa-9faad2d70301,std_1660853734088_124,awVu-tZUy
tch_20220818-180043_121,4387b762-df49-4db2-a664-9f6750751901,std_1660853730617_121,9xP2-uJtg
tch_20220818-180043_123,ec8ee2fe-96d4-4577-b6b3-a9d6879335dd,std_1660853737211_123,2GEM-W4Mt
tch_20220818-180043_125,f452bcc4-507a-45fc-b7be-4a5d2dc86eec,std_1660853750102_125,6aDb-fqXn
tch_20220818-180043_122,f2c243c0-3981-44e1-a3a2-55805bf83125,std_1660853752827_122,JnZG-xenh
tch_20220818-180043_124,e00ecfe8-c45d-497e-843d-bf2b6f21cad9,std_1660853756197_124,awVu-tZUy
tch_20220818-180043_123,2435753f-d228-40bd-b179-e9324110fed5,std_1660853761651_123,2GEM-W4Mt
tch_20220818-180043_125,2ae4f2a3-7f09-4c7a-8522-2607f7d909a8,std_1660853776769_125,6aDb-fqXn
tch_20220818-180043_124,f73c385d-92f9-4862-9bec-cfee46e33581,std_1660853786106_124,awVu-tZUy
tch_20220818-180043_125,f3f4ce1c-3807-4bee-86c7-dcfe90462f9c,std_1660853806142_125,6aDb-fqXn
